T;kp;kc;Ks;muiiii;muijij;muijji;M1;M2;M3;D;F;A;C;W
50;3.34175e+4;8.17849e-5;2.57075e+8;1.11244e-3;5.62103e-4;2.71810e-4;4.39176e+2;1.46638e+2;1.46269e+2;2.41659e-2;4.26877e+3;1.53433e-4;1.00900e-4;2.72761e+0
60;3.52935e+4;1.44119e-4;3.95197e+8;1.09365e-3;5.84333e-4;2.51162e-4;7.15578e+2;2.39244e+2;2.38166e+2;4.34202e-2;4.59801e+3;2.29498e-4;1.41101e-4;3.00647e+0
70;3.24978e+4;2.40448e-4;5.59073e+8;1.09700e-3;6.15163e-4;2.37329e-4;1.07264e+3;3.59308e+2;3.56661e+2;8.50411e-2;4.88642e+3;3.20256e-4;1.84524e-4;3.25249e+0
80;2.74850e+4;4.06335e-4;7.45726e+8;1.11813e-3;6.50051e-4;2.30398e-4;1.51011e+3;5.07190e+2;5.01440e+2;1.68503e-1;5.13608e+3;4.25102e-4;2.30997e-4;3.45924e+0
90;2.25348e+4;7.19062e-4;9.52361e+8;1.15613e-3;6.86615e-4;2.31108e-4;2.02532e+3;6.82641e+2;6.71286e+2;3.18608e-1;5.34894e+3;5.43532e-4;2.80534e-4;3.62371e+0
100;1.84465e+4;1.30478e-3;1.17648e+9;1.21344e-3;7.23418e-4;2.41404e-4;2.61392e+3;8.85021e+2;8.64331e+2;5.63474e-1;5.52812e+3;6.75030e-4;3.33160e-4;3.74625e+0
120;1.27814e+4;3.97919e-3;1.66857e+9;1.39850e-3;7.94571e-4;2.98592e-4;3.98943e+3;1.36695e+3;1.31087e+3;1.45053e+0;5.80204e+3;9.74775e-4;4.47442e-4;3.88006e+0
140;9.33971e+3;9.87325e-3;2.20653e+9;1.67560e-3;8.59931e-4;4.04889e-4;5.59088e+3;1.94459e+3;1.82232e+3;3.02867e+0;5.99201e+3;1.31862e-3;5.72512e-4;3.90257e+0
160;7.14426e+3;2.01725e-2;2.77638e+9;2.00642e-3;9.18230e-4;5.41712e-4;7.37504e+3;2.60822e+3;2.38191e+3;5.43535e+0;6.12653e+3;1.70002e-3;7.05946e-4;3.85826e+0
180;5.66903e+3;3.55200e-2;3.36529e+9;2.33991e-3;9.69102e-4;6.83651e-4;9.30496e+3;3.34736e+3;2.97640e+3;8.74395e+0;6.22525e+3;2.11243e-3;8.44946e-4;3.78035e+0
185;5.37644e+3;4.01659e-2;3.51416e+9;2.41895e-3;9.80665e-4;7.17548e-4;9.80654e+3;3.54269e+3;3.12927e+3;9.71528e+0;6.24592e+3;2.21967e-3;8.80257e-4;3.75825e+0
190;5.10779e+3;4.51306e-2;3.66336e+9;2.49541e-3;9.91776e-4;7.50384e-4;1.03149e+4;3.74191e+3;3.28357e+3;1.07442e+1;6.26529e+3;2.32838e-3;9.15719e-4;3.73558e+0
195;4.86054e+3;5.04083e-2;3.81277e+9;2.56902e-3;1.00244e-3;7.82019e-4;1.08297e+4;3.94485e+3;3.43919e+3;1.18304e+1;6.28349e+3;2.43848e-3;9.51302e-4;3.71251e+0
200;4.63247e+3;5.59919e-2;3.96223e+9;2.63960e-3;1.01267e-3;8.12350e-4;1.13505e+4;4.15136e+3;3.59604e+3;1.29735e+1;6.30063e+3;2.54990e-3;9.86974e-4;3.68920e+0
220;3.87676e+3;8.11890e-2;4.55837e+9;2.88966e-3;1.04937e-3;9.19634e-4;1.34874e+4;5.01005e+3;4.23388e+3;1.80998e+1;6.36031e+3;3.00734e-3;1.13005e-3;3.59566e+0
240;3.30876e+3;1.10363e-1;5.14699e+9;3.08900e-3;1.07987e-3;1.00459e-3;1.56967e+4;5.91420e+3;4.88503e+3;2.40671e+1;6.40897e+3;3.48061e-3;1.27276e-3;3.50487e+0
260;2.87089e+3;1.42551e-1;5.72314e+9;3.24372e-3;1.10492e-3;1.06990e-3;1.79634e+4;6.85568e+3;5.54605e+3;3.07981e+1;6.44952e+3;3.96638e-3;1.41411e-3;3.41888e+0
280;2.52599e+3;1.76706e-1;6.28327e+9;3.36215e-3;1.12530e-3;1.11933e-3;2.02756e+4;7.82758e+3;6.21450e+3;3.82043e+1;6.48385e+3;4.46204e-3;1.55341e-3;3.33828e+0
300;2.24925e+3;2.11805e-1;6.82487e+9;3.45227e-3;1.14175e-3;1.15650e-3;2.26238e+4;8.82402e+3;6.88860e+3;4.61938e+1;6.51324e+3;4.96554e-3;1.69010e-3;3.26300e+0
350;1.75530e+3;2.98054e-1;8.08784e+9;3.59424e-3;1.16993e-3;1.21399e-3;2.86057e+4;1.13924e+4;8.59059e+3;6.81463e+1;6.57048e+3;6.24865e-3;2.01775e-3;3.09612e+0
400;1.43431e+3;3.74983e-1;9.21271e+9;3.66698e-3;1.18574e-3;1.24278e-3;3.46848e+4;1.40297e+4;1.03064e+4;9.20012e+1;6.61114e+3;7.55350e-3;2.32135e-3;2.95575e+0